ASCII Value,Hex value,Organization Name,Organization Address,Phone,Fax,Statement of intention to apply the assigned RID,Date of intended implementation of the RID,Name of Authorized Representative,Authorized Representative Title,Authorized Representative Address,Date Identifier Registered
SVMD,53-56-4d-44,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 10601 USA",+1 914 761 1100,+1 914 761 3115,"SMPTE_Video_Metadata_Dictionary_identifier to identify transport streams complying with SMPTE xxxM - Proposed SMPTE Standard for Television - Video Metatdata Dictionary for MPEG-2 Transport Streams",1998-06-05,Peter Symes,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 10601 USA",1998-05-18
SYNC,53-59-4e-43,"Syncbak, Inc.","5 Research Center, Marion, IA 52302, USA",+1 319 892 3022,,"The RID will be used to identify Syncbak data broadcasting streams.",2010-08-01,Steve Turley,Senior Software Engineer,"Syncbak, Inc., 5 Research Center, Marion, IA 52302, USA",2010-07-28
SZMI,53-5a-4d-49,"Building B, Inc","1000 NW 65th Street, Suite 300, Fort Lauderdale, FL 33309",+1 954 351 2270,+1 954 351 2278,"Building B, Inc. is launching a USA-based home entertainment service. Certain service-related data will be broadcast to subscribers homes by embedding the data into ATSC broadcasts. Local digital television stations will be partners with Building B in the deployment of this service. As specified in the ATSC digital television standard A/53, Building B will identify all private data carried in the ATSC stream using MPEG-2 Registration Descriptors and/or ATSC private information descriptors, both of which use the RID ""SZMI""",2008-06-01,Jim Burmeister,Director of CPE,"1000 NW 65th Street, Suite 300, Fort Lauderdale, FL 33309",2008-03-30
TRIV,54-52-49-56,Triveni Digital,"40 Washington Road, Princeton Junction, NJ 08550 USA",+1 609 716 3530,+1 609 716 3503,"Purpose: Format identifier for ATSC Private Information Descriptor",2003-10-01,Richard Chernock,Senior Member Technical Staff,"40 Washington Road, Princeton Junction, NJ 08550 USA",2004-01-05
TSBV,54-53-42-56,Toshiba Corporation Digital Media Network Company,"2-9 Suehiro-Cho, Ome, Tokyo, 198-8710 Japan",+81 428-34-4824,+81 428-34-7459,"""TSBV"" identifies the transport stream that contains self-encoded MPEG4-AVC/H.264 data and private data",2007-11-28,Kenji Shimoda,Technology Executive,"1-1 Shibaura 1-Chome, Minato-ku, Tokyo, 108-8001 Japan",2007-12-17
TSHV,54-53-48-56,Sony Corporation,"Sinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",+81 3 5769 5614,+81 3 5769 5955,"""TSHV"" identifies the transport stream that contains self-encoded MPEG data and private data",2004-01-01,Kenji Nikata,Senior Manager,"Sinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",2003-07-15
TSMV,54-53-4d-56,Sony Corporation,"Sinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",+81 3 5769 5629,+81 3 5769 5959,"""TSMV"" identifies the transport stream that contains self-encoded MPEG data and private data",2002-01-01,Yasutaka Kotani,Engineering Manager,"Sinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",2001-05-22
TTA0,54-54-41-30,Telecommunication Technology Association(TTA),"267-2 Seohyon-dong, Bundang-gu, Seongnam-City, Gyeonggi-do, 463-824, Republic of Korea",+82-31-724-0099,+82-31-724-0119,"TTA (Telecommunications Technology Association), a standard development organization in Korea, establishes and provides technical standards that reflect the latest domestic and international technological advances in IT industry. Especially, TTA Terrestrial Broadcasting Project Group (PG802) is response for the terrestrial broadcasting standards with relevance to ATSC. Recently, TTA PG802 has been working in standardization of advanced codec which describes the compression method of video/audio signal and the transmission/signaling method of the compressed stream using advanced codec in terrestrial digital television broadcasting based on ATSC A/71, 72. In order to rule out the possibility of existing legacy television's malfunction caused by unrecognized error of parameterized service and to designate service type unambiguously, we would like to utilize ATSC_Private_Information_Descriptor, which will be used only in Korea, with new format_identifie r value. Thus we request for the registration of new format_identifier ""TTA0"" (54-54-41-30 in Hexadecimal Value) because TTA is responsible for establishing standards for terrestrial digital television in Korea.",2012-01-01,Kyoungseok Oh,Manager,"267-2 Seohyon-dong, Bundang-gu, Seongnam-City, Gyeonggi-do, 463-824, Republic of Korea",2011-12-08
TVG1,54-56-47-31,Rovi Corporation,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",+1 781 276 8777,+1 781 276 8878,"TV Guide On Screen wishes to apply for two format identifiers [TVG1, TVG2] that identify Electronic Program Guide related data.",2003-09-01,Glenn Axelrod,Senior Operations Engineer,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",2003-08-07
TVG2,54-56-47-32,Rovi Corporation,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",+1 781 276 8777,+1 781 276 8878,"TV Guide On Screen wishes to apply for two format identifiers [TVG1, TVG2] that identify Electronic Program Guide related data.",2003-09-01,Glenn Axelrod,Senior Operations Engineer,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",2003-08-07
TVG3,54-56-47-33,Rovi Corporation,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",+1 781 276 8777,+1 781 276 8878,"TV Guide On Screen wishes to apply for a format identifier [TVG3] that identifies Electronic Program Guide related data.",2007-08-08,Glenn Axelrod,Senior Operations Engineer,"209 Burlington Road, Suite 101, Bedford, MA 01730 USA",2007-08-08
TVMS,54-56-4d-53,TV4 Media,"Tegeluddsvägen 3-5 11579 Stockholm",+46 8-4594000,,"TV4 Media hereby requests the format_identifier TVMS to be used in the structure of the Managed Private UPID as described in SCTE-35.",2024-09-01,Janne Jokinen,E2E Solution Architect,"Konepajankuja 7, 00510 Helsinki",2024-06-25
ULE1,55-4c-45-31,"University of Aberdeen (on behalf of the Internet Engineering Task Force, IETF)","Department of Engineering, University of Aberdeen, Aberdeen, Scotland, UK",+44 1224 27 2201,+44 1224 27 2497 (FAO G Fairhurst),"This application is submitted on behalf of the IETF ipdvb Working Group. The request is to allocate a format_identifier value within the SMPTE RA, such as ""ULE1"" to describe transport streams carrying data in a format specified by ""The Unidirectional Lightweight Encapsulation, ULE"". This is an IETF Standards-Track protocol designed to ease support of IPv4, IPv6, MPLS, and various other forms of network packet in data networks built using MPEG-2 Transport Streams. ULE is specified in RFC4326, which is published as an Internet Standards-Track document in the RFC-series. The official reference citation is: [RFC4326] Fairhurst, G. and B. Collini-Nocker, ""Unidirectional Lightweight Encapsulation (ULE) for Transmission of IP Datagrams over an MPEG-2 Transport Stream (TS)"", RFC 4326, December 2005. The stable reference to this document is maintained at: http://www.ietf.org/rfc/rfc4326.txt. Format identifiers indicating ULE streams may be placed in the PMT ES_info descriptor loop.",2005-07-31,Gorry Fairhurst,IETF ipdvb WG Chair,"Department of Engineering, University of Aberdeen, Aberdeen, Scotland, UK",2005-07-05
ULI0,55-4c-49-30,"Update Logic, Inc.","2 Willow St, Suite 101, Southborough, MA 01745",+1 508 624 8688,+1 508 624 8686,"Update Logic Inc intends to use ""ULI0"" as the format identifier for a Data Carousel Service",2008-07-15,Steven Hastings,VP Engineering,"Update Logic, Inc., 2 Willow St, Suite 101, Southborough, MA 01745",2008-06-28
VC-1,56-43-2d-31,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 106011 USA",+1 914-761-1100,+1 914 761 3115,"Purpose: To provide a format_identifier for VC-1 per SMPTE Draft RP 227 - VC-1 Bitstream Transport Encodings",2005-12-06,Howard Lukk,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 106011 USA",2005-11-29
VC-4,56-43-2d-34,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 106011 USA",+1 916 761 1100,+1 916 761 3115,"Purpose: To provide a format_identifier for VC-4 per SMPTE RP 2058-3 Bitstream Transport Encodings",2012-01-01,Howard Lukk,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 106011 USA",2011-12-07
VMNU,56-4d-4e-55,Viacom,"1515 Broadway, New York, NY 10036",+1 (212) 258-6000,,"We are requesting a registered identifier as part of our implementation of the SCTE-104 and SCTE-35 specifications. Our systems will utilize a managed private UPID as described in SCTE-35. A reserved SMPTE format_identifier is required to comply with this specification.",2014-06-01,Gregg Riedel,"VP, Applications Development","1515 Broadway 27th Floor New York, NY 10036",2014-04-07
XMP_,58-4d-50-5f,Adobe Systems,"Grosse Elbstrasse 27, Hamburg, 22767, Germany",+49 40 30636 307,,"Adobe wants to embed XMP metadata into MPEG-2 files to enable file based partner workflows and related standards.",2015-12-31,Frank Biederich,"Director, Engineering","Grosse Elbstrasse 27, Hamburg, 22767, Germany",2014-06-18
